ticker,period_end,revenue,type,industry
PLD,2026-12-31,2333010666.0417233,forecast_bull,Real Estate
SPG,2026-03-31,1847957417.9646645,forecast,Real Estate
SPG,2026-06-30,1906234471.4041545,forecast,Real Estate
SPG,2026-09-30,1966349345.8478372,forecast,Real Estate
SPG,2026-12-31,2028359998.68793,forecast,Real Estate
SPG,2026-03-31,1819709708.9823325,forecast_bear,Real Estate
SPG,2026-06-30,1848402826.8333714,forecast_bear,Real Estate
SPG,2026-09-30,1877548376.7442875,forecast_bear,Real Estate
SPG,2026-12-31,1907153492.6476798,forecast_bear,Real Estate
SPG,2026-03-31,1876205126.9469965,forecast_bull,Real Estate
SPG,2026-06-30,1964956933.7123508,forecast_bull,Real Estate
SPG,2026-09-30,2057907046.4576764,forecast_bull,Real Estate
SPG,2026-12-31,2155254061.400266,forecast_bull,Real Estate
WELL,2026-03-31,3416905914.3741364,forecast,Real Estate
WELL,2026-06-30,3724937292.4200644,forecast,Real Estate
WELL,2026-09-30,4060737456.6832905,forecast,Real Estate
WELL,2026-12-31,4426809741.378898,forecast,Real Estate
WELL,2026-03-31,3275626457.187068,forecast_bear,Real Estate
WELL,2026-06-30,3423274030.2920847,forecast_bear,Real Estate
WELL,2026-09-30,3577576759.633237,forecast_bear,Real Estate
WELL,2026-12-31,3738834623.758062,forecast_bear,Real Estate
WELL,2026-03-31,3558185371.5612044,forecast_bull,Real Estate
WELL,2026-06-30,4039336786.383941,forecast_bull,Real Estate
WELL,2026-09-30,4585551333.05929,forecast_bull,Real Estate
WELL,2026-12-31,5205627096.755575,forecast_bull,Real Estate
