industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Real Estate,PLD,Prologis,128139714560,25.966,38.721912,41.17925,18.199,0.03722318614785589,5.359949126303182,0.36205003,0.4133,0.04,128139.7,False
Real Estate,AMT,American Tower,87843028992,19.927,34.748146,27.16098,12.931,0.05133005366209128,6.295742436665416,0.23763001,0.44942,0.075,87843.0,False
Real Estate,EQR,Equity Residential,24747864064,17.339,21.53925,41.94303,10.548,0.05723448408868713,4.475529715379186,0.36202,0.2851,0.02,24747.9,False
Real Estate,SPG,Simon Property Group,65325359104,20.248,14.187015,28.811178,14.964,0.03579811430162973,6.032947694110978,0.7271,0.49717,0.132,65325.4,False
Real Estate,O,Realty Income,60638220288,17.632,55.38462,36.101284,15.645,0.04412875897892315,5.681611353940902,0.18370001,0.46975,0.11,60638.2,False
Real Estate,WELL,Welltower,143074148352,60.232,145.42554,62.32523,14.808,0.01597383842102075,6.134749730270345,0.08644,-0.28201,0.413,143074.1,False
Real Estate,DLR,Digital Realty Trust,62877347840,29.219,50.2095,52.762432,13.357,0.03114698293228775,6.044200225645277,0.2152,0.14147,0.171,62877.3,False
