industry,ticker,name,market_cap,ev_to_ebitda,trailing_pe,forward_pe,ev_to_revenue,fcf_yield,net_debt_ebitda,profit_margin,operating_margin,revenue_growth,market_cap_m,outlier_flag
Real Estate,PLD,Prologis,132527226880,26.647,40.047756,42.589233,18.676,0.035990856824604824,5.359949126303182,0.36205003,0.4133,0.04,132527.2,False
Real Estate,AMT,American Tower,89838682112,20.211,30.599682,27.894737,13.116,0.05018982119950001,6.295742436665416,0.23763001,0.44942,0.075,89838.7,False
Real Estate,EQR,Equity Residential,24787077120,17.359,21.573378,42.00949,10.56,0.05714393936577222,4.475529715379186,0.36202,0.2851,0.02,24787.1,False
Real Estate,SPG,Simon Property Group,76888793088,20.443,14.386027,29.215336,15.108,0.030414376114910983,6.032947694110978,0.7271,0.49717,0.132,76888.8,False
Real Estate,O,Realty Income,62696923136,18.033,62.616817,37.326946,16.001,0.04267975642433925,5.681611353940902,0.18370001,0.46975,0.11,62696.9,False
Real Estate,WELL,Welltower,144518496256,60.774,144.83916,62.574017,14.942,0.01581419255810389,6.134749730270345,0.08644,-0.28201,0.413,144518.5,False
Real Estate,DLR,Digital Realty Trust,61985345536,28.904,49.497208,52.013924,13.212,0.031595204690156524,6.044200225645277,0.2152,0.14147,0.171,61985.3,False
